ID,WAVELENGTH,FLUX,FLUX_ERR
3926-55327-0834,[ 3585.915   3586.74    3587.5671 ... 10396.809  10399.206  10401.593 ],"[8.9327284e-18 3.1237041e-18 1.9933099e-17 ... 6.7219277e-17 4.2136044e-17
 1.7052297e-17]","[2.9338879e-17 2.9082582e-17 2.9483493e-17 ... 4.9446246e-17 0.0000000e+00
 5.4687726e-17]"
3927-55333-0390,[ 3569.4385  3570.2617  3571.083  ... 10306.237  10308.603  10310.9795],"[ 1.7595865e-16  1.5880154e-16  1.4165354e-16 ... -3.4303966e-18
 -3.1166094e-17  9.4512631e-17]","[3.2412480e-17 0.0000000e+00 3.1669238e-17 ... 3.0162281e-17 1.3292986e-17
 2.0608188e-17]"
3942-55338-0939,[ 3585.0903  3585.915   3586.74   ... 10382.458  10384.841  10387.236 ],"[1.3319718e-16 1.3655962e-16 9.0754690e-17 ... 1.9255567e-17 1.7605006e-17
 1.5954438e-17]","[4.9492175e-17 4.8950279e-17 4.5204537e-17 ... 1.8247613e-17 0.0000000e+00
 2.3947425e-17]"
3947-55332-0830,[ 3582.6133  3583.4395  3584.264  ... 10384.841  10387.236  10389.631 ],"[ 5.3787287e-17  5.1855082e-17  2.3806498e-17 ... -2.5513587e-17
 -1.6225743e-17  2.4712393e-18]","[4.7931047e-17 4.5225435e-17 4.1486400e-17 ... 3.8171646e-17 4.4968906e-17
 3.3181239e-17]"
3949-55650-0400,[ 3553.0396  3553.857   3554.6765 ... 10320.482  10322.862  10325.231 ],"[-1.04044445e-16  6.30218858e-18  4.61424540e-17 ...  1.56621338e-17
  1.90795230e-17  3.13425124e-18]","[4.8041082e-17 4.2299469e-17 4.4212781e-17 ... 2.1832294e-17 1.7127324e-17
 1.4061220e-17]"
3953-55322-0495,[ 3571.083   3571.9065  3572.7283 ... 10306.237  10308.603  10310.9795],"[-3.4162477e-17 -1.3461504e-18  3.1463337e-17 ...  2.5371125e-17
 -2.3758821e-17  7.0811782e-17]","[3.7201962e-17 0.0000000e+00 3.7656180e-17 ... 2.0612355e-17 7.7285958e-18
 1.2256545e-17]"
3954-55680-0189,[ 3557.9507  3558.771   3559.5898 ... 10325.231  10327.612  10329.994 ],"[ 2.5512149e-17  5.4102754e-17  8.2691744e-17 ... -1.5187125e-17
  5.6759055e-19  1.7988085e-17]","[3.8958890e-17 0.0000000e+00 3.2358819e-17 ... 1.5743833e-17 1.6756401e-17
 1.7144544e-17]"
3956-55656-0982,[ 3588.3923  3589.22    3590.0457 ... 10389.631  10392.016  10394.412 ],"[ 1.27161715e-17 -2.46008725e-17  2.10715394e-17 ...  9.65272874e-18
 -2.17299966e-17 -5.31145906e-17]","[2.87546576e-17 2.79675191e-17 2.82856958e-17 ... 1.12636266e-17
 0.00000000e+00 1.69509706e-17]"
3961-55654-0019,[ 3556.3142  3557.1323  3557.9507 ... 10318.104  10320.482  10322.862 ],"[-3.2806211e-17  3.0119975e-17  7.1226398e-17 ... -6.7109891e-17
 -1.2038901e-18  2.8308208e-17]","[4.8094958e-17 3.9586141e-17 4.0378808e-17 ... 3.0213685e-17 3.6851899e-17
 3.5436897e-17]"
3964-55648-0873,[ 3587.5671  3588.3923  3589.22   ... 10387.236  10389.631  10392.016 ],"[-4.2267923e-17  1.9364053e-17 -1.0211363e-17 ...  1.4996194e-16
  4.7041014e-17 -5.5882562e-17]","[3.3774453e-17 3.0724635e-17 3.0660237e-17 ... 7.2462008e-17 0.0000000e+00
 3.2606288e-17]"
3977-55335-0325,[ 3573.552   3574.374   3575.1963 ... 10308.603  10310.9795 10313.357 ],"[ 4.6341308e-17  1.0850099e-17  4.6133782e-18 ...  9.2209396e-17
  4.2428643e-16 -1.1369747e-16]","[7.7630702e-17 3.7788979e-17 3.6881767e-17 ... 2.0057583e-16 8.7113560e-17
 3.9966145e-17]"
3981-55603-0460,[ 3555.4944  3556.3142  3557.1323 ... 10329.994  10332.376  10334.747 ],"[ 2.4331080e-16  2.8158276e-16  3.1986129e-16 ...  1.0647741e-17
  1.0958378e-18 -6.1513940e-18]","[2.4668349e-17 0.0000000e+00 2.4554314e-17 ... 1.9619189e-17 2.2137984e-17
 2.1392689e-17]"
4006-55328-0874,[ 3580.14    3580.9636  3581.7893 ... 10377.672  10380.064  10382.458 ],"[ 1.3921415e-16  6.2192057e-17 -3.4222619e-17 ... -2.6459678e-18
 -1.2025232e-18  2.4094104e-19]","[4.9846261e-17 4.6844883e-17 4.3093311e-17 ... 4.9387586e-17 0.0000000e+00
 2.7633978e-17]"
4019-55363-0316,[ 3571.083   3571.9065  3572.7283 ... 10308.603  10310.9795 10313.357 ],"[ 5.5238486e-17  4.9174355e-17  4.3115109e-17 ...  4.7327926e-17
  9.8011651e-17 -8.2604579e-17]","[4.9633335e-17 0.0000000e+00 3.8350333e-17 ... 1.3494122e-17 1.7793270e-17
 2.4202281e-17]"
4019-55363-0436,[ 3571.083   3571.9065  3572.7283 ... 10308.603  10310.9795 10313.357 ],"[ 1.8086789e-17  2.1463767e-18 -1.3774212e-17 ...  3.1656364e-17
  6.9462419e-17 -9.8360490e-17]","[6.7996596e-17 0.0000000e+00 4.4106190e-17 ... 1.3716820e-17 2.1316297e-17
 3.2364537e-17]"
4026-55325-0860,[ 3583.4395  3584.264   3585.0903 ... 10380.064  10382.458  10384.841 ],"[-6.6185599e-18  2.6375474e-17  1.4373077e-17 ... -5.0037336e-17
 -3.3718982e-17 -1.7400798e-17]","[3.4668999e-17 3.6317927e-17 3.3666810e-17 ... 5.5928275e-17 0.0000000e+00
 4.3425093e-17]"
